"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","value","unit"
"2016-03-26","Brazil-Acre","state","microcephaly_confirmed","BR0002",NA,NA,"0","cases"
"2016-03-26","Brazil-Alagoas","state","microcephaly_confirmed","BR0002",NA,NA,"50","cases"
"2016-03-26","Brazil-Amapa","state","microcephaly_confirmed","BR0002",NA,NA,NA,"cases"
"2016-03-26","Brazil-Amazonas","state","microcephaly_confirmed","BR0002",NA,NA,"1","cases"
"2016-03-26","Brazil-Bahia","state","microcephaly_confirmed","BR0002",NA,NA,"176","cases"
"2016-03-26","Brazil-Ceara","state","microcephaly_confirmed","BR0002",NA,NA,"73","cases"
"2016-03-26","Brazil-Distrito_Federal","state","microcephaly_confirmed","BR0002",NA,NA,"3","cases"
"2016-03-26","Brazil-Espirito_Santo","state","microcephaly_confirmed","BR0002",NA,NA,"4","cases"
"2016-03-26","Brazil-Goias","state","microcephaly_confirmed","BR0002",NA,NA,"9","cases"
"2016-03-26","Brazil-Maranhao","state","microcephaly_confirmed","BR0002",NA,NA,"55","cases"
"2016-03-26","Brazil-Mato_Grosso","state","microcephaly_confirmed","BR0002",NA,NA,"13","cases"
"2016-03-26","Brazil-Mato_Grosso_do_Sul","state","microcephaly_confirmed","BR0002",NA,NA,"2","cases"
"2016-03-26","Brazil-Minas_Gerais","state","microcephaly_confirmed","BR0002",NA,NA,"2","cases"
"2016-03-26","Brazil-Para","state","microcephaly_confirmed","BR0002",NA,NA,"1","cases"
"2016-03-26","Brazil-Paraiba","state","microcephaly_confirmed","BR0002",NA,NA,"95","cases"
"2016-03-26","Brazil-Parana","state","microcephaly_confirmed","BR0002",NA,NA,"1","cases"
"2016-03-26","Brazil-Pernambuco","state","microcephaly_confirmed","BR0002",NA,NA,"273","cases"
"2016-03-26","Brazil-Piaui","state","microcephaly_confirmed","BR0002",NA,NA,"64","cases"
"2016-03-26","Brazil-Rio_Grande_do_Norte","state","microcephaly_confirmed","BR0002",NA,NA,"83","cases"
"2016-03-26","Brazil-Rio_Grande_do_Sul","state","microcephaly_confirmed","BR0002",NA,NA,"1","cases"
"2016-03-26","Brazil-Rio_de_Janeiro","state","microcephaly_confirmed","BR0002",NA,NA,"9","cases"
"2016-03-26","Brazil-Rondonia","state","microcephaly_confirmed","BR0002",NA,NA,"3","cases"
"2016-03-26","Brazil-Roraima","state","microcephaly_confirmed","BR0002",NA,NA,"0","cases"
"2016-03-26","Brazil-Santa_Catarina","state","microcephaly_confirmed","BR0002",NA,NA,"0","cases"
"2016-03-26","Brazil-Sergipe","state","microcephaly_confirmed","BR0002",NA,NA,"26","cases"
"2016-03-26","Brazil-Sao_Paulo","state","microcephaly_confirmed","BR0002",NA,NA,"0","cases"
"2016-03-26","Brazil-Tocantins","state","microcephaly_confirmed","BR0002",NA,NA,"0","cases"
"2016-03-26","Brazil-Acre","state","microcephaly_not","BR0003",NA,NA,"1","cases"
"2016-03-26","Brazil-Alagoas","state","microcephaly_not","BR0003",NA,NA,"106","cases"
"2016-03-26","Brazil-Amapa","state","microcephaly_not","BR0003",NA,NA,NA,"cases"
"2016-03-26","Brazil-Amazonas","state","microcephaly_not","BR0003",NA,NA,"1","cases"
"2016-03-26","Brazil-Bahia","state","microcephaly_not","BR0003",NA,NA,"120","cases"
"2016-03-26","Brazil-Ceara","state","microcephaly_not","BR0003",NA,NA,"113","cases"
"2016-03-26","Brazil-Distrito_Federal","state","microcephaly_not","BR0003",NA,NA,"32","cases"
"2016-03-26","Brazil-Espirito_Santo","state","microcephaly_not","BR0003",NA,NA,"18","cases"
"2016-03-26","Brazil-Goias","state","microcephaly_not","BR0003",NA,NA,"30","cases"
"2016-03-26","Brazil-Maranhao","state","microcephaly_not","BR0003",NA,NA,"30","cases"
"2016-03-26","Brazil-Mato_Grosso","state","microcephaly_not","BR0003",NA,NA,"71","cases"
"2016-03-26","Brazil-Mato_Grosso_do_Sul","state","microcephaly_not","BR0003",NA,NA,"11","cases"
"2016-03-26","Brazil-Minas_Gerais","state","microcephaly_not","BR0003",NA,NA,"46","cases"
"2016-03-26","Brazil-Para","state","microcephaly_not","BR0003",NA,NA,"0","cases"
"2016-03-26","Brazil-Paraiba","state","microcephaly_not","BR0003",NA,NA,"340","cases"
"2016-03-26","Brazil-Parana","state","microcephaly_not","BR0003",NA,NA,"24","cases"
"2016-03-26","Brazil-Pernambuco","state","microcephaly_not","BR0003",NA,NA,"349","cases"
"2016-03-26","Brazil-Piaui","state","microcephaly_not","BR0003",NA,NA,"37","cases"
