"","report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","value","unit"
"1",2016-09-17,"Brazil-Acre","state","zika_reported","BR0011",NA,NA,119,"cases"
"2",2016-09-17,"Brazil-Amapa","state","zika_reported","BR0011",NA,NA,339,"cases"
"3",2016-09-17,"Brazil-Amazonas","state","zika_reported","BR0011",NA,NA,4536,"cases"
"4",2016-09-17,"Brazil-Para","state","zika_reported","BR0011",NA,NA,3575,"cases"
"5",2016-09-17,"Brazil-Rondonia","state","zika_reported","BR0011",NA,NA,1031,"cases"
"6",2016-09-17,"Brazil-Roraima","state","zika_reported","BR0011",NA,NA,131,"cases"
"7",2016-09-17,"Brazil-Tocantins","state","zika_reported","BR0011",NA,NA,2197,"cases"
"8",2016-09-17,"Brazil-Alagoas","state","zika_reported","BR0011",NA,NA,6613,"cases"
"9",2016-09-17,"Brazil-Bahia","state","zika_reported","BR0011",NA,NA,50343,"cases"
"10",2016-09-17,"Brazil-Ceara","state","zika_reported","BR0011",NA,NA,4706,"cases"
"11",2016-09-17,"Brazil-Maranhao","state","zika_reported","BR0011",NA,NA,4171,"cases"
"12",2016-09-17,"Brazil-Paraiba","state","zika_reported","BR0011",NA,NA,3479,"cases"
"13",2016-09-17,"Brazil-Pernambuco","state","zika_reported","BR0011",NA,NA,384,"cases"
"14",2016-09-17,"Brazil-Piaui","state","zika_reported","BR0011",NA,NA,309,"cases"
"15",2016-09-17,"Brazil-Rio_Grande_do_Norte","state","zika_reported","BR0011",NA,NA,3789,"cases"
"16",2016-09-17,"Brazil-Sergipe","state","zika_reported","BR0011",NA,NA,396,"cases"
"17",2016-09-17,"Brazil-Espirito_Santo","state","zika_reported","BR0011",NA,NA,2276,"cases"
"18",2016-09-17,"Brazil-Minas_Gerais","state","zika_reported","BR0011",NA,NA,15086,"cases"
"19",2016-09-17,"Brazil-Rio_de_Janeiro","state","zika_reported","BR0011",NA,NA,60176,"cases"
"20",2016-09-17,"Brazil-Sao_Paulo","state","zika_reported","BR0011",NA,NA,5613,"cases"
"21",2016-09-17,"Brazil-Parana","state","zika_reported","BR0011",NA,NA,1043,"cases"
"22",2016-09-17,"Brazil-Rio_Grande_do_Sul","state","zika_reported","BR0011",NA,NA,192,"cases"
"23",2016-09-17,"Brazil-Santa_Catarina","state","zika_reported","BR0011",NA,NA,86,"cases"
"24",2016-09-17,"Brazil-Distrito_Federal","state","zika_reported","BR0011",NA,NA,334,"cases"
"25",2016-09-17,"Brazil-Goias","state","zika_reported","BR0011",NA,NA,6355,"cases"
"26",2016-09-17,"Brazil-Mato_Grosso","state","zika_reported","BR0011",NA,NA,21970,"cases"
"27",2016-09-17,"Brazil-Mato_Grosso_do_Sul","state","zika_reported","BR0011",NA,NA,1216,"cases"
