"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","value","unit"
"2016-04-07","Colombia-Norte_Santander","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,450,"cases"
"2016-04-07","Colombia-Barranquilla","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,59,"cases"
"2016-04-07","Colombia-Huila","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,208,"cases"
"2016-04-07","Colombia-Valle","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,59,"cases"
"2016-04-07","Colombia-Cordoba","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,103,"cases"
"2016-04-07","Colombia-Tolima","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,89,"cases"
"2016-04-07","Colombia-Atlantico","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,28,"cases"
"2016-04-07","Colombia-Santa_Marta","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,87,"cases"
"2016-04-07","Colombia-Cesar","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,67,"cases"
"2016-04-07","Colombia-Sucre","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,11,"cases"
"2016-04-07","Colombia-Magdalena","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,47,"cases"
"2016-04-07","Colombia-Meta","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,13,"cases"
"2016-04-07","Colombia-Antioquia","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,26,"cases"
"2016-04-07","Colombia-Santander","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,15,"cases"
"2016-04-07","Colombia-Bogota","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,68,"cases"
"2016-04-07","Colombia-Caqueta","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,14,"cases"
"2016-04-07","Colombia-Cundinamarca","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,45,"cases"
"2016-04-07","Colombia-Guajira","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,26,"cases"
