"","report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","value","unit"
"1",2015-12-12,"Colombia-Amazonas","province","zika_confirmed_laboratory","CO0001",NA,NA,"  0","cases"
"2",2015-12-12,"Colombia-Amazonas","province","zika_suspected","CO0003",NA,NA,"   4","cases"
"3",2015-12-12,"Colombia-Antioquia","province","zika_confirmed_laboratory","CO0001",NA,NA," 74","cases"
"4",2015-12-12,"Colombia-Antioquia","province","zika_suspected","CO0003",NA,NA,"  18","cases"
"5",2015-12-12,"Colombia-Arauca","province","zika_confirmed_laboratory","CO0001",NA,NA,"  7","cases"
"6",2015-12-12,"Colombia-Arauca","province","zika_suspected","CO0003",NA,NA,"   3","cases"
"7",2015-12-12,"Colombia-Atlantico","province","zika_confirmed_laboratory","CO0001",NA,NA,"  1","cases"
"8",2015-12-12,"Colombia-Atlantico","province","zika_suspected","CO0003",NA,NA," 223","cases"
"9",2015-12-12,"Colombia-Barranquilla","province","zika_confirmed_laboratory","CO0001",NA,NA,"  6","cases"
"10",2015-12-12,"Colombia-Barranquilla","province","zika_suspected","CO0003",NA,NA," 595","cases"
"11",2015-12-12,"Colombia-Bogota","province","zika_confirmed_laboratory","CO0001",NA,NA,"  0","cases"
"12",2015-12-12,"Colombia-Bogota","province","zika_suspected","CO0003",NA,NA,"   6","cases"
"13",2015-12-12,"Colombia-Bolivar","province","zika_confirmed_laboratory","CO0001",NA,NA," 87","cases"
"14",2015-12-12,"Colombia-Bolivar","province","zika_suspected","CO0003",NA,NA," 360","cases"
"15",2015-12-12,"Colombia-Boyaca","province","zika_confirmed_laboratory","CO0001",NA,NA," 20","cases"
"16",2015-12-12,"Colombia-Boyaca","province","zika_suspected","CO0003",NA,NA,"  12","cases"
"17",2015-12-12,"Colombia-Caldas","province","zika_confirmed_laboratory","CO0001",NA,NA," 15","cases"
"18",2015-12-12,"Colombia-Caldas","province","zika_suspected","CO0003",NA,NA,"  15","cases"
"19",2015-12-12,"Colombia-Caqueta","province","zika_confirmed_laboratory","CO0001",NA,NA,"  3","cases"
"20",2015-12-12,"Colombia-Caqueta","province","zika_suspected","CO0003",NA,NA,"   6","cases"
