"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","value","unit"
2016-04-23,"Colombia-Antioquia-Unknown","municipality","zika_confirmed_laboratory","CO0001",NA,NA,3,"cases"
2016-04-23,"Colombia-Antioquia-Medellin","municipality","zika_confirmed_laboratory","CO0001",NA,NA,52,"cases"
2016-04-23,"Colombia-Antioquia-Abejorral","municipality","zika_confirmed_laboratory","CO0001",NA,NA,0,"cases"
2016-04-23,"Colombia-Antioquia-Abriaqui","municipality","zika_confirmed_laboratory","CO0001",NA,NA,0,"cases"
2016-04-23,"Colombia-Antioquia-Alejandria","municipality","zika_confirmed_laboratory","CO0001",NA,NA,0,"cases"
2016-04-23,"Colombia-Antioquia-Amaga","municipality","zika_confirmed_laboratory","CO0001",NA,NA,0,"cases"
2016-04-23,"Colombia-Antioquia-Amalfi","municipality","zika_confirmed_laboratory","CO0001",NA,NA,0,"cases"
2016-04-23,"Colombia-Antioquia-Andes","municipality","zika_confirmed_laboratory","CO0001",NA,NA,0,"cases"
2016-04-23,"Colombia-Antioquia-Angelopolis","municipality","zika_confirmed_laboratory","CO0001",NA,NA,0,"cases"
2016-04-23,"Colombia-Antioquia-Angostura","municipality","zika_confirmed_laboratory","CO0001",NA,NA,0,"cases"
2016-04-23,"Colombia-Antioquia-Anori","municipality","zika_confirmed_laboratory","CO0001",NA,NA,0,"cases"
2016-04-23,"Colombia-Antioquia-Santafe_De_Antioquia","municipality","zika_confirmed_laboratory","CO0001",NA,NA,0,"cases"
2016-04-23,"Colombia-Antioquia-Anza","municipality","zika_confirmed_laboratory","CO0001",NA,NA,0,"cases"
2016-04-23,"Colombia-Antioquia-Apartado","municipality","zika_confirmed_laboratory","CO0001",NA,NA,9,"cases"
2016-04-23,"Colombia-Antioquia-Arboletes","municipality","zika_confirmed_laboratory","CO0001",NA,NA,3,"cases"
2016-04-23,"Colombia-Antioquia-Argelia","municipality","zika_confirmed_laboratory","CO0001",NA,NA,0,"cases"
2016-04-23,"Colombia-Antioquia-Armenia","municipality","zika_confirmed_laboratory","CO0001",NA,NA,0,"cases"
2016-04-23,"Colombia-Antioquia-Barbosa","municipality","zika_confirmed_laboratory","CO0001",NA,NA,0,"cases"
