report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
2016-02-13,El_Salvador-Ahuachapan,department,cumulative_suspected_total,SV0010,NA,NA,101,cases
2016-02-13,El_Salvador-Cabanas,department,cumulative_suspected_total,SV0010,NA,NA,217,cases
2016-02-13,El_Salvador-Chalatenango,department,cumulative_suspected_total,SV0010,NA,NA,352,cases
2016-02-13,El_Salvador-Cuscatlan,department,cumulative_suspected_total,SV0010,NA,NA,364,cases
2016-02-13,El_Salvador-La_Libertad,department,cumulative_suspected_total,SV0010,NA,NA,785,cases
2016-02-13,El_Salvador-La_Paz,department,cumulative_suspected_total,SV0010,NA,NA,99,cases
2016-02-13,El_Salvador-La_Union,department,cumulative_suspected_total,SV0010,NA,NA,26,cases
2016-02-13,El_Salvador-Morazan,department,cumulative_suspected_total,SV0010,NA,NA,75,cases
2016-02-13,El_Salvador-San_Miguel,department,cumulative_suspected_total,SV0010,NA,NA,86,cases
2016-02-13,El_Salvador-San_Salvador,department,cumulative_suspected_total,SV0010,NA,NA,1835,cases
2016-02-13,El_Salvador-San_Vicente,department,cumulative_suspected_total,SV0010,NA,NA,220,cases
2016-02-13,El_Salvador-Santa_Ana,department,cumulative_suspected_total,SV0010,NA,NA,437,cases
2016-02-13,El_Salvador-Sonsonate,department,cumulative_suspected_total,SV0010,NA,NA,44,cases
2016-02-13,El_Salvador-Usulutan,department,cumulative_suspected_total,SV0010,NA,NA,105,cases
2016-02-13,El_Salvador-Guatemala,department,cumulative_suspected_total,SV0010,NA,NA,2,cases
2016-02-13,El_Salvador,country,cumulative_suspected_total,SV0010,NA,NA,4748,cases
2016-02-13,El_Salvador,country,cumulative_suspected_age_under_1,SV0001,NA,NA,73,cases
2016-02-13,El_Salvador,country,cumulative_suspected_age_1-4,SV0002,NA,NA,203,cases
2016-02-13,El_Salvador,country,cumulative_suspected_age_5-9,SV0003,NA,NA,205,cases
2016-02-13,El_Salvador,country,cumulative_suspected_age_10-19,SV0004,NA,NA,389,cases
2016-02-13,El_Salvador,country,cumulative_suspected_age_20-29,SV0005,NA,NA,1200,cases
2016-02-13,El_Salvador,country,cumulative_suspected_age_30-39,SV0006,NA,NA,1158,cases
2016-02-13,El_Salvador,country,cumulative_suspected_age_40-49,SV0007,NA,NA,837,cases
2016-02-13,El_Salvador,country,cumulative_suspected_age_50-59,SV0008,NA,NA,467,cases
2016-02-13,El_Salvador,country,cumulative_suspected_age_60_plus,SV0009,NA,NA,216,cases
2016-02-13,El_Salvador-Sonsonate,department,cumulative_suspected_pregnant,SV0011,NA,NA,1,cases
2016-02-13,El_Salvador-San_Miguel,department,cumulative_suspected_pregnant,SV0011,NA,NA,6,cases
2016-02-13,El_Salvador-Cabanas,department,cumulative_suspected_pregnant,SV0011,NA,NA,15,cases
2016-02-13,El_Salvador-Cuscatlan,department,cumulative_suspected_pregnant,SV0011,NA,NA,11,cases
2016-02-13,El_Salvador-San_Salvador,department,cumulative_suspected_pregnant,SV0011,NA,NA,58,cases
2016-02-13,El_Salvador-San_Vicente,department,cumulative_suspected_pregnant,SV0011,NA,NA,13,cases
2016-02-13,El_Salvador-Santa_Ana,department,cumulative_suspected_pregnant,SV0011,NA,NA,7,cases
2016-02-13,El_Salvador-Chalatenango,department,cumulative_suspected_pregnant,SV0011,NA,NA,12,cases
2016-02-13,El_Salvador-La_Libertad,department,cumulative_suspected_pregnant,SV0011,NA,NA,12,cases
2016-02-13,El_Salvador-La_Paz,department,cumulative_suspected_pregnant,SV0011,NA,NA,2,cases
2016-02-13,El_Salvador-Morazan,department,cumulative_suspected_pregnant,SV0011,NA,NA,2,cases
2016-02-13,El_Salvador-Usulutan,department,cumulative_suspected_pregnant,SV0011,NA,NA,4,cases
2016-02-13,El_Salvador-Guatemala,department,cumulative_suspected_pregnant,SV0011,NA,NA,1,cases
2016-02-13,El_Salvador,country,cumulative_suspected_pregnant,SV0011,NA,NA,144,cases
2016-02-13,El_Salvador,country,weekly_hospitalized,SV0013,NA,NA,5,cases
