"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","value","unit"
2016-03-08,"Guatemala","country","total_zika_suspected_cumulative","GT0007",NA,NA,592,"cases"
2016-03-08,"Guatemala-Zacapa","municipality","total_zika_suspected_cumulative","GT0007",NA,NA,115,"cases"
2016-03-08,"Guatemala-Quetzaltenango","municipality","total_zika_suspected_cumulative","GT0007",NA,NA,183,"cases"
2016-03-08,"Guatemala-Santa_Rosa","municipality","total_zika_suspected_cumulative","GT0007",NA,NA,43,"cases"
2016-03-08,"Guatemala-Chiquimula","municipality","total_zika_suspected_cumulative","GT0007",NA,NA,39,"cases"
2016-03-08,"Guatemala-Retalhuleu","municipality","total_zika_suspected_cumulative","GT0007",NA,NA,28,"cases"
2016-03-08,"Guatemala-Peten_Sur_Oriental","municipality","total_zika_suspected_cumulative","GT0007",NA,NA,15,"cases"
2016-03-08,"Guatemala-Suchitepequez","municipality","total_zika_suspected_cumulative","GT0007",NA,NA,33,"cases"
2016-03-08,"Guatemala-Izabal","municipality","total_zika_suspected_cumulative","GT0007",NA,NA,25,"cases"
2016-03-08,"Guatemala-Jutiapa","municipality","total_zika_suspected_cumulative","GT0007",NA,NA,23,"cases"
2016-03-08,"Guatemala-San_Marcos","municipality","total_zika_suspected_cumulative","GT0007",NA,NA,52,"cases"
2016-03-08,"Guatemala-Escuintla","municipality","total_zika_suspected_cumulative","GT0007",NA,NA,11,"cases"
2016-03-08,"Guatemala-Central","municipality","total_zika_suspected_cumulative","GT0007",NA,NA,9,"cases"
2016-03-08,"Guatemala-Peten_Sur_Occidental","municipality","total_zika_suspected_cumulative","GT0007",NA,NA,2,"cases"
2016-03-08,"Guatemala-El_Progreso","municipality","total_zika_suspected_cumulative","GT0007",NA,NA,1,"cases"
2016-03-08,"Guatemala-Sur","municipality","total_zika_suspected_cumulative","GT0007",NA,NA,6,"cases"
2016-03-08,"Guatemala-Nor_Occidente","municipality","total_zika_suspected_cumulative","GT0007",NA,NA,4,"cases"
2016-03-08,"Guatemala-Sacatepequez","municipality","total_zika_suspected_cumulative","GT0007",NA,NA,1,"cases"
2016-03-08,"Guatemala-Solola","municipality","total_zika_suspected_cumulative","GT0007",NA,NA,1,"cases"
2016-03-08,"Guatemala-Nor_Oriente","municipality","total_zika_suspected_cumulative","GT0007",NA,NA,1,"cases"
2016-03-08,"Guatemala","country","total_zika_suspected","GT0001",NA,NA,41,"cases"
2016-03-08,"Guatemala-Zacapa","municipality","total_zika_suspected","GT0001",NA,NA,8,"cases"
2016-03-08,"Guatemala-Quetzaltenango","municipality","total_zika_suspected","GT0001",NA,NA,6,"cases"
2016-03-08,"Guatemala-Santa_Rosa","municipality","total_zika_suspected","GT0001",NA,NA,4,"cases"
2016-03-08,"Guatemala-Chiquimula","municipality","total_zika_suspected","GT0001",NA,NA,7,"cases"
2016-03-08,"Guatemala-Retalhuleu","municipality","total_zika_suspected","GT0001",NA,NA,0,"cases"
2016-03-08,"Guatemala-Peten_Sur_Oriental","municipality","total_zika_suspected","GT0001",NA,NA,2,"cases"
2016-03-08,"Guatemala-Suchitepequez","municipality","total_zika_suspected","GT0001",NA,NA,4,"cases"
2016-03-08,"Guatemala-Izabal","municipality","total_zika_suspected","GT0001",NA,NA,3,"cases"
2016-03-08,"Guatemala-Jutiapa","municipality","total_zika_suspected","GT0001",NA,NA,4,"cases"
2016-03-08,"Guatemala-San_Marcos","municipality","total_zika_suspected","GT0001",NA,NA,2,"cases"
2016-03-08,"Guatemala-Escuintla","municipality","total_zika_suspected","GT0001",NA,NA,0,"cases"
2016-03-08,"Guatemala-Central","municipality","total_zika_suspected","GT0001",NA,NA,0,"cases"
2016-03-08,"Guatemala-Peten_Sur_Occidental","municipality","total_zika_suspected","GT0001",NA,NA,0,"cases"
2016-03-08,"Guatemala-El_Progreso","municipality","total_zika_suspected","GT0001",NA,NA,0,"cases"
2016-03-08,"Guatemala-Sur","municipality","total_zika_suspected","GT0001",NA,NA,0,"cases"
2016-03-08,"Guatemala-Nor_Occidente","municipality","total_zika_suspected","GT0001",NA,NA,0,"cases"
2016-03-08,"Guatemala-Sacatepequez","municipality","total_zika_suspected","GT0001",NA,NA,0,"cases"
2016-03-08,"Guatemala-Solola","municipality","total_zika_suspected","GT0001",NA,NA,0,"cases"
2016-03-08,"Guatemala-Nor_Oriente","municipality","total_zika_suspected","GT0001",NA,NA,1,"cases"
