report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
2016-09-20,Guatemala,country,total_zika_suspected_cumulative,GT0007,NA,NA,2899,cases
2016-09-20,Guatemala-Santa_Rosa,municipality,total_zika_suspected_cumulative,GT0007,NA,NA,449,cases
2016-09-20,Guatemala-Zacapa,municipality,total_zika_suspected_cumulative,GT0007,NA,NA,271,cases
2016-09-20,Guatemala-Chiquimula,municipality,total_zika_suspected_cumulative,GT0007,NA,NA,349,cases
2016-09-20,Guatemala-Jalapa,municipality,total_zika_suspected_cumulative,GT0007,NA,NA,153,cases
2016-09-20,Guatemala-El_Progreso,municipality,total_zika_suspected_cumulative,GT0007,NA,NA,70,cases
2016-09-20,Guatemala-Peten_Sur_Oriental,municipality,total_zika_suspected_cumulative,GT0007,NA,NA,100,cases
2016-09-20,Guatemala-Quetzaltenango,municipality,total_zika_suspected_cumulative,GT0007,NA,NA,293,cases
2016-09-20,Guatemala-Central,municipality,total_zika_suspected_cumulative,GT0007,NA,NA,270,cases
2016-09-20,Guatemala-Suchitepequez,municipality,total_zika_suspected_cumulative,GT0007,NA,NA,131,cases
2016-09-20,Guatemala-Jutiapa,municipality,total_zika_suspected_cumulative,GT0007,NA,NA,94,cases
2016-09-20,Guatemala-Izabal,municipality,total_zika_suspected_cumulative,GT0007,NA,NA,85,cases
2016-09-20,Guatemala-Nor_Occidente,municipality,total_zika_suspected_cumulative,GT0007,NA,NA,147,cases
2016-09-20,Guatemala-Retalhuleu,municipality,total_zika_suspected_cumulative,GT0007,NA,NA,51,cases
2016-09-20,Guatemala-Escuintla,municipality,total_zika_suspected_cumulative,GT0007,NA,NA,101,cases
2016-09-20,Guatemala-Ixcan,municipality,total_zika_suspected_cumulative,GT0007,NA,NA,10,cases
2016-09-20,Guatemala-Sur,municipality,total_zika_suspected_cumulative,GT0007,NA,NA,86,cases
2016-09-20,Guatemala-Peten_Sur_Occidental,municipality,total_zika_suspected_cumulative,GT0007,NA,NA,20,cases
2016-09-20,Guatemala-Peten_Norte,municipality,total_zika_suspected_cumulative,GT0007,NA,NA,17,cases
2016-09-20,Guatemala-Nor_Oriente,municipality,total_zika_suspected_cumulative,GT0007,NA,NA,33,cases
2016-09-20,Guatemala-El_Quiche,municipality,total_zika_suspected_cumulative,GT0007,NA,NA,41,cases
2016-09-20,Guatemala-San_Marcos,municipality,total_zika_suspected_cumulative,GT0007,NA,NA,57,cases
2016-09-20,Guatemala-Sacatepequez,municipality,total_zika_suspected_cumulative,GT0007,NA,NA,9,cases
