report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
2016-10-22,Mexico-Aguascalientes,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-10-22,Mexico-Baja_California,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-10-22,Mexico-Baja_California_Sur,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-10-22,Mexico-Campeche,state,weekly_zika_confirmed,MX0001,NA,NA,12,cases
2016-10-22,Mexico-Chiapas,state,weekly_zika_confirmed,MX0001,NA,NA,4,cases
2016-10-22,Mexico-Chihuahua,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-10-22,Mexico-Coahuila_de_Zaragoza,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-10-22,Mexico-Colima,state,weekly_zika_confirmed,MX0001,NA,NA,25,cases
2016-10-22,Mexico-Distrito_Federal,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-10-22,Mexico-Durango,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-10-22,Mexico-Guanajuato,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-10-22,Mexico-Guerrero,state,weekly_zika_confirmed,MX0001,NA,NA,2,cases
2016-10-22,Mexico-Hidalgo,state,weekly_zika_confirmed,MX0001,NA,NA,17,cases
2016-10-22,Mexico-Jalisco,state,weekly_zika_confirmed,MX0001,NA,NA,7,cases
2016-10-22,Mexico-Mexico,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-10-22,Mexico-Michoacan_de_Ocampo,state,weekly_zika_confirmed,MX0001,NA,NA,1,cases
2016-10-22,Mexico-Morelos,state,weekly_zika_confirmed,MX0001,NA,NA,37,cases
2016-10-22,Mexico-Nayarit,state,weekly_zika_confirmed,MX0001,NA,NA,6,cases
2016-10-22,Mexico-Nuevo_Leon,state,weekly_zika_confirmed,MX0001,NA,NA,143,cases
2016-10-22,Mexico-Oaxaca,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-10-22,Mexico-Puebla,state,weekly_zika_confirmed,MX0001,NA,NA,1,cases
2016-10-22,Mexico-Queretaro_de_Arteaga,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-10-22,Mexico-Quintana_Roo,state,weekly_zika_confirmed,MX0001,NA,NA,41,cases
2016-10-22,Mexico-San_Luis_Potosi,state,weekly_zika_confirmed,MX0001,NA,NA,10,cases
2016-10-22,Mexico-Sinaloa,state,weekly_zika_confirmed,MX0001,NA,NA,8,cases
2016-10-22,Mexico-Sonora,state,weekly_zika_confirmed,MX0001,NA,NA,1,cases
2016-10-22,Mexico-Tabasco,state,weekly_zika_confirmed,MX0001,NA,NA,24,cases
2016-10-22,Mexico-Tamaulipas,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-10-22,Mexico-Tlaxcala,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-10-22,Mexico-Veracruz_de_Ignacio_de_la_Llave,state,weekly_zika_confirmed,MX0001,NA,NA,123,cases
2016-10-22,Mexico-Yucatan,state,weekly_zika_confirmed,MX0001,NA,NA,188,cases
2016-10-22,Mexico-Zacatecas,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases
2016-10-22,Mexico-Aguascalientes,state,yearly_cumulative_female,MX0002,NA,NA,1,cases
2016-10-22,Mexico-Baja_California,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-10-22,Mexico-Baja_California_Sur,state,yearly_cumulative_female,MX0002,NA,NA,2,cases
2016-10-22,Mexico-Campeche,state,yearly_cumulative_female,MX0002,NA,NA,71,cases
2016-10-22,Mexico-Chiapas,state,yearly_cumulative_female,MX0002,NA,NA,615,cases
2016-10-22,Mexico-Chihuahua,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-10-22,Mexico-Coahuila_de_Zaragoza,state,yearly_cumulative_female,MX0002,NA,NA,1,cases
2016-10-22,Mexico-Colima,state,yearly_cumulative_female,MX0002,NA,NA,190,cases
2016-10-22,Mexico-Distrito_Federal,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-10-22,Mexico-Durango,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-10-22,Mexico-Guanajuato,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-10-22,Mexico-Guerrero,state,yearly_cumulative_female,MX0002,NA,NA,628,cases
2016-10-22,Mexico-Hidalgo,state,yearly_cumulative_female,MX0002,NA,NA,124,cases
2016-10-22,Mexico-Jalisco,state,yearly_cumulative_female,MX0002,NA,NA,38,cases
2016-10-22,Mexico-Mexico,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-10-22,Mexico-Michoacan_de_Ocampo,state,yearly_cumulative_female,MX0002,NA,NA,45,cases
2016-10-22,Mexico-Morelos,state,yearly_cumulative_female,MX0002,NA,NA,133,cases
2016-10-22,Mexico-Nayarit,state,yearly_cumulative_female,MX0002,NA,NA,18,cases
2016-10-22,Mexico-Nuevo_Leon,state,yearly_cumulative_female,MX0002,NA,NA,253,cases
2016-10-22,Mexico-Oaxaca,state,yearly_cumulative_female,MX0002,NA,NA,391,cases
2016-10-22,Mexico-Puebla,state,yearly_cumulative_female,MX0002,NA,NA,48,cases
2016-10-22,Mexico-Queretaro_de_Arteaga,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-10-22,Mexico-Quintana_Roo,state,yearly_cumulative_female,MX0002,NA,NA,275,cases
2016-10-22,Mexico-San_Luis_Potosi,state,yearly_cumulative_female,MX0002,NA,NA,15,cases
2016-10-22,Mexico-Sinaloa,state,yearly_cumulative_female,MX0002,NA,NA,7,cases
2016-10-22,Mexico-Sonora,state,yearly_cumulative_female,MX0002,NA,NA,5,cases
2016-10-22,Mexico-Tabasco,state,yearly_cumulative_female,MX0002,NA,NA,225,cases
2016-10-22,Mexico-Tamaulipas,state,yearly_cumulative_female,MX0002,NA,NA,39,cases
2016-10-22,Mexico-Tlaxcala,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-10-22,Mexico-Veracruz_de_Ignacio_de_la_Llave,state,yearly_cumulative_female,MX0002,NA,NA,1254,cases
2016-10-22,Mexico-Yucatan,state,yearly_cumulative_female,MX0002,NA,NA,540,cases
2016-10-22,Mexico-Zacatecas,state,yearly_cumulative_female,MX0002,NA,NA,0,cases
2016-10-22,Mexico-Aguascalientes,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-10-22,Mexico-Baja_California,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-10-22,Mexico-Baja_California_Sur,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-10-22,Mexico-Campeche,state,yearly_cumulative_male,MX0003,NA,NA,9,cases
2016-10-22,Mexico-Chiapas,state,yearly_cumulative_male,MX0003,NA,NA,96,cases
2016-10-22,Mexico-Chihuahua,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-10-22,Mexico-Coahuila_de_Zaragoza,state,yearly_cumulative_male,MX0003,NA,NA,1,cases
2016-10-22,Mexico-Colima,state,yearly_cumulative_male,MX0003,NA,NA,17,cases
2016-10-22,Mexico-Distrito_Federal,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-10-22,Mexico-Durango,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-10-22,Mexico-Guanajuato,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-10-22,Mexico-Guerrero,state,yearly_cumulative_male,MX0003,NA,NA,138,cases
2016-10-22,Mexico-Hidalgo,state,yearly_cumulative_male,MX0003,NA,NA,18,cases
2016-10-22,Mexico-Jalisco,state,yearly_cumulative_male,MX0003,NA,NA,14,cases
2016-10-22,Mexico-Mexico,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-10-22,Mexico-Michoacan_de_Ocampo,state,yearly_cumulative_male,MX0003,NA,NA,11,cases
2016-10-22,Mexico-Morelos,state,yearly_cumulative_male,MX0003,NA,NA,26,cases
2016-10-22,Mexico-Nayarit,state,yearly_cumulative_male,MX0003,NA,NA,11,cases
2016-10-22,Mexico-Nuevo_Leon,state,yearly_cumulative_male,MX0003,NA,NA,60,cases
2016-10-22,Mexico-Oaxaca,state,yearly_cumulative_male,MX0003,NA,NA,92,cases
2016-10-22,Mexico-Puebla,state,yearly_cumulative_male,MX0003,NA,NA,11,cases
2016-10-22,Mexico-Queretaro_de_Arteaga,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
2016-10-22,Mexico-Quintana_Roo,state,yearly_cumulative_male,MX0003,NA,NA,12,cases
2016-10-22,Mexico-San_Luis_Potosi,state,yearly_cumulative_male,MX0003,NA,NA,4,cases
2016-10-22,Mexico-Sinaloa,state,yearly_cumulative_male,MX0003,NA,NA,2,cases
2016-10-22,Mexico-Sonora,state,yearly_cumulative_male,MX0003,NA,NA,2,cases
2016-10-22,Mexico-Tabasco,state,yearly_cumulative_male,MX0003,NA,NA,26,cases
2016-10-22,Mexico-Tamaulipas,state,yearly_cumulative_male,MX0003,NA,NA,10,cases
2016-10-22,Mexico-Tlaxcala,state,yearly_cumulative_male,MX0003,NA,NA,0,cases
