"report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","value","unit"
"2016-10-11","Panama-Kuna_Yala","province","Zika_confirmed_laboratory_2016","PA0002",NA,NA,136,"cases"
"2016-10-11","Panama-Metro","province","Zika_confirmed_laboratory_2016","PA0002",NA,NA,174,"cases"
"2016-10-11","Panama-Panama_Oeste","province","Zika_confirmed_laboratory_2016","PA0002",NA,NA,34,"cases"
"2016-10-11","Panama-San_Miguelito","province","Zika_confirmed_laboratory_2016","PA0002",NA,NA,30,"cases"
"2016-10-11","Panama-Herrera","province","Zika_confirmed_laboratory_2016","PA0002",NA,NA,4,"cases"
"2016-10-11","Panama-Panama_Norte","province","Zika_confirmed_laboratory_2016","PA0002",NA,NA,9,"cases"
"2016-10-11","Panama-Darien","province","Zika_confirmed_laboratory_2016","PA0002",NA,NA,1,"cases"
"2016-10-11","Panama-Colon","province","Zika_confirmed_laboratory_2016","PA0002",NA,NA,4,"cases"
"2016-10-11","Panama-Los_Santos","province","Zika_confirmed_laboratory_2016","PA0002",NA,NA,2,"cases"
"2016-10-11","Panama-Panama_Este","province","Zika_confirmed_laboratory_2016","PA0002",NA,NA,1,"cases"
"2016-10-11","Panama-Veraguas","province","Zika_confirmed_laboratory_2016","PA0002",NA,NA,1,"cases"
"2016-10-11","Panama-Bocas_del_Toro","province","Zika_confirmed_laboratory_2016","PA0002",NA,NA,22,"cases"
"2016-10-11","Panama-Ngabe_Bugle","province","Zika_confirmed_laboratory_2016","PA0002",NA,NA,1,"cases"
"2016-10-11","Panama-Importados","province","Zika_confirmed_laboratory_2016","PA0002",NA,NA,5,"cases"
"2016-10-11","Panama","country","weekly_Zika_confirmed_imported","PA0019",NA,NA,42,"cases"
"2016-10-11","Panama-Bocas_del_Toro","province","Zika_positive_pregnant_2015_2016","PA0020",NA,NA,0,"cases"
"2016-10-11","Panama-Cocle","province","Zika_positive_pregnant_2015_2016","PA0020",NA,NA,0,"cases"
"2016-10-11","Panama-Colon","province","Zika_positive_pregnant_2015_2016","PA0020",NA,NA,0,"cases"
"2016-10-11","Panama-Darien","province","Zika_positive_pregnant_2015_2016","PA0020",NA,NA,0,"cases"
"2016-10-11","Panama-Chiriqui","province","Zika_positive_pregnant_2015_2016","PA0020",NA,NA,0,"cases"
"2016-10-11","Panama-Herrera","province","Zika_positive_pregnant_2015_2016","PA0020",NA,NA,0,"cases"
"2016-10-11","Panama-Los_Santos","province","Zika_positive_pregnant_2015_2016","PA0020",NA,NA,0,"cases"
"2016-10-11","Panama-Metro","province","Zika_positive_pregnant_2015_2016","PA0020",NA,NA,8,"cases"
"2016-10-11","Panama-Panama_Oeste","province","Zika_positive_pregnant_2015_2016","PA0020",NA,NA,1,"cases"
"2016-10-11","Panama-Panama_Norte","province","Zika_positive_pregnant_2015_2016","PA0020",NA,NA,0,"cases"
"2016-10-11","Panama-Panama_Este","province","Zika_positive_pregnant_2015_2016","PA0020",NA,NA,0,"cases"
"2016-10-11","Panama-San_Miguelito","province","Zika_positive_pregnant_2015_2016","PA0020",NA,NA,4,"cases"
"2016-10-11","Panama-Veraguas","province","Zika_positive_pregnant_2015_2016","PA0020",NA,NA,0,"cases"
"2016-10-11","Panama-Kuna_Yala","province","Zika_positive_pregnant_2015_2016","PA0020",NA,NA,1,"cases"
"2016-10-11","Panama-Ngabe_Bugle","province","Zika_positive_pregnant_2015_2016","PA0020",NA,NA,1,"cases"
"2016-10-11","Panama-Importados","province","Zika_positive_pregnant_2015_2016","PA0020",NA,NA,0,"cases"
"2016-10-11","Panama-Bocas_del_Toro","province","Zika_negative_pregnant_2015_2016","PA0021",NA,NA,0,"cases"
"2016-10-11","Panama-Cocle","province","Zika_negative_pregnant_2015_2016","PA0021",NA,NA,0,"cases"
"2016-10-11","Panama-Colon","province","Zika_negative_pregnant_2015_2016","PA0021",NA,NA,1,"cases"
"2016-10-11","Panama-Darien","province","Zika_negative_pregnant_2015_2016","PA0021",NA,NA,0,"cases"
"2016-10-11","Panama-Chiriqui","province","Zika_negative_pregnant_2015_2016","PA0021",NA,NA,0,"cases"
"2016-10-11","Panama-Herrera","province","Zika_negative_pregnant_2015_2016","PA0021",NA,NA,0,"cases"
"2016-10-11","Panama-Los_Santos","province","Zika_negative_pregnant_2015_2016","PA0021",NA,NA,1,"cases"
"2016-10-11","Panama-Metro","province","Zika_negative_pregnant_2015_2016","PA0021",NA,NA,19,"cases"
"2016-10-11","Panama-Panama_Oeste","province","Zika_negative_pregnant_2015_2016","PA0021",NA,NA,4,"cases"
"2016-10-11","Panama-Panama_Norte","province","Zika_negative_pregnant_2015_2016","PA0021",NA,NA,2,"cases"
"2016-10-11","Panama-Panama_Este","province","Zika_negative_pregnant_2015_2016","PA0021",NA,NA,3,"cases"
"2016-10-11","Panama-San_Miguelito","province","Zika_negative_pregnant_2015_2016","PA0021",NA,NA,4,"cases"
"2016-10-11","Panama-Veraguas","province","Zika_negative_pregnant_2015_2016","PA0021",NA,NA,0,"cases"
"2016-10-11","Panama-Kuna_Yala","province","Zika_negative_pregnant_2015_2016","PA0021",NA,NA,2,"cases"
"2016-10-11","Panama-Ngabe_Bugle","province","Zika_negative_pregnant_2015_2016","PA0021",NA,NA,0,"cases"
"2016-10-11","Panama-Importados","province","Zika_negative_pregnant_2015_2016","PA0021",NA,NA,0,"cases"
